Chevrolet Onix,Branco,HAT,ABC-1234,999.001.001-01
Volkswagen Polo,Preto,HAT,DEF-5678,999.001.002-02
Hyundai HB20,Prata,HAT,GHI-9012,999.001.003-03
Fiat Argo,Vermelho,HAT,JKL-3456,999.001.004-04
Fiat Cronos,Cinza Chumbo,SEDAN,MNO-7890,999.001.005-05
Fiat Mobi,Azul Marinho,HAT,PQR-1234,999.001.006-06
Jeep Renegade,Branco,SUV,STU-5678,999.001.007-07
Chevrolet Tracker,Preto,SUV,VWX-9012,999.001.009-09
Volkswagen T-Cross,Verde Musgo,SUV,YZA-3456,999.001.010-10
Nissan Kicks,Prata,SUV,BCD-7890,999.001.011-11
Renault Kwid,Vermelho,HAT,CDE-1234,999.001.012-12
Ford Ka,Cinza Chumbo,HAT,FGH-5678,999.001.013-13
Hyundai Creta,Azul Marinho,SUV,HIJ-9012,999.001.014-14
Toyota Corolla,Branco,SEDAN,KLM-3456,999.001.015-15
Volkswagen Virtus,Preto,SEDAN,NOP-7890,999.001.016-16
Chevrolet Onix Plus,Prata,SEDAN,QRS-1234,999.001.017-17
Fiat Pulse,Vermelho,SUV,TUV-5678,999.001.020-20
Jeep Compass,Cinza Chumbo,SUV,WXY-9012,999.001.021-21
Honda HR-V,Azul Marinho,SUV,ZAB-3456,999.001.022-22
Renault Sandero,Branco,HAT,ABC-7890,999.001.023-23
Chevrolet Onix,Preto,HAT,DEF-1234,999.001.024-24
Volkswagen Polo,Prata,HAT,GHI-5678,999.001.025-25
Hyundai HB20,Vermelho,HAT,JKL-9012,999.001.026-26
Fiat Argo,Cinza Chumbo,HAT,MNO-3456,999.001.027-27
Fiat Cronos,Azul Marinho,SEDAN,PQR-7890,999.001.028-28
Fiat Mobi,Branco,HAT,STU-1234,999.001.029-29
Jeep Renegade,Preto,SUV,VWX-5678,999.001.030-30
Chevrolet Tracker,Prata,SUV,YZA-9012,999.001.031-31
Volkswagen T-Cross,Vermelho,SUV,BCD-3456,999.001.032-32
Nissan Kicks,Cinza Chumbo,SUV,CDE-7890,999.001.033-33
Renault Kwid,Azul Marinho,HAT,FGH-1234,999.001.034-34
Ford Ka,Branco,HAT,HIJ-5678,999.001.036-36
Hyundai Creta,Preto,SUV,KLM-9012,999.001.037-37
Toyota Corolla,Prata,SEDAN,NOP-3456,999.001.038-38
Volkswagen Virtus,Vermelho,SEDAN,QRS-7890,999.001.039-39
Chevrolet Onix Plus,Cinza Chumbo,SEDAN,TUV-1234,999.001.040-40
Fiat Pulse,Azul Marinho,SUV,WXY-5678,999.001.041-41
Jeep Compass,Branco,SUV,ZAB-9012,999.001.042-42
Honda HR-V,Preto,SUV,ABC-3456,999.001.043-43
Renault Sandero,Prata,HAT,DEF-7890,999.001.044-44
Chevrolet Onix,Vermelho,HAT,GHI-1234,999.001.045-45
Volkswagen Polo,Cinza Chumbo,HAT,JKL-5678,999.001.046-46
Hyundai HB20,Azul Marinho,HAT,MNO-9012,999.001.047-47
Fiat Argo,Branco,HAT,PQR-3456,999.001.048-48
Fiat Cronos,Preto,SEDAN,STU-7890,999.001.049-49
Fiat Mobi,Prata,HAT,VWX-1234,999.001.050-50
Jeep Renegade,Vermelho,SUV,YZA-5678,999.001.051-51
Chevrolet Tracker,Cinza Chumbo,SUV,BCD-9012,999.001.052-52
Volkswagen T-Cross,Azul Marinho,SUV,CDE-3456,999.001.053-53
Nissan Kicks,Branco,SUV,FGH-7890,999.001.001-01
Renault Kwid,Preto,HAT,HIJ-1234,999.001.002-02
Ford Ka,Prata,HAT,KLM-5678,999.001.003-03
Hyundai Creta,Vermelho,SUV,NOP-9012,999.001.004-04
Toyota Corolla,Cinza Chumbo,SEDAN,QRS-3456,999.001.005-05
Volkswagen Virtus,Azul Marinho,SEDAN,TUV-7890,999.001.006-06
Chevrolet Onix Plus,Branco,SEDAN,WXY-1234,999.001.007-07
Fiat Pulse,Preto,SUV,ZAB-5678,999.001.009-09
Jeep Compass,Prata,SUV,ABC-9012,999.001.010-10
Honda HR-V,Vermelho,SUV,DEF-3456,999.001.011-11
Renault Sandero,Cinza Chumbo,HAT,GHI-7890,999.001.012-12
Chevrolet Onix,Azul Marinho,HAT,JKL-1234,999.001.013-13
Volkswagen Polo,Branco,HAT,MNO-5678,999.001.014-14
Hyundai HB20,Preto,HAT,PQR-9012,999.001.015-15
Fiat Argo,Prata,HAT,STU-3456,999.001.016-16
Fiat Cronos,Vermelho,SEDAN,VWX-7890,999.001.017-17
Fiat Mobi,Cinza Chumbo,HAT,YZA-1234,999.001.020-20
Jeep Renegade,Azul Marinho,SUV,BCD-5678,999.001.021-21
Chevrolet Tracker,Branco,SUV,CDE-9012,999.001.022-22
Volkswagen T-Cross,Preto,SUV,FGH-3456,999.001.023-23
Nissan Kicks,Prata,SUV,HIJ-7890,999.001.024-24
Renault Kwid,Vermelho,HAT,KLM-1234,999.001.025-25
Ford Ka,Cinza Chumbo,HAT,NOP-5678,999.001.026-26
Hyundai Creta,Azul Marinho,SUV,QRS-9012,999.001.027-27
Toyota Corolla,Branco,SEDAN,TUV-3456,999.001.028-28
Volkswagen Virtus,Preto,SEDAN,WXY-7890,999.001.029-29
Chevrolet Onix Plus,Prata,SEDAN,ZAB-1234,999.001.030-30
Fiat Pulse,Vermelho,SUV,ABC-5678,999.001.031-31
Jeep Compass,Cinza Chumbo,SUV,DEF-9012,999.001.032-32
Honda HR-V,Azul Marinho,SUV,GHI-3456,999.001.033-33
Renault Sandero,Branco,HAT,JKL-7890,999.001.034-34
Chevrolet Onix,Preto,HAT,MNO-1234,999.001.036-36
Volkswagen Polo,Prata,HAT,PQR-5678,999.001.037-37
Hyundai HB20,Vermelho,HAT,STU-9012,999.001.038-38
Fiat Argo,Cinza Chumbo,HAT,VWX-3456,999.001.039-39
Fiat Cronos,Azul Marinho,SEDAN,YZA-7890,999.001.001-01
Fiat Mobi,Branco,HAT,BCD-1234,999.001.002-02
Jeep Renegade,Preto,SUV,CDE-5678,999.001.003-03
Chevrolet Tracker,Prata,SUV,FGH-9012,999.001.004-04
Volkswagen T-Cross,Vermelho,SUV,HIJ-3456,999.001.005-05
Nissan Kicks,Cinza Chumbo,SUV,KLM-7890,999.001.006-06
Renault Kwid,Azul Marinho,HAT,NOP-1234,999.001.007-07
Honda HR-V,Prata,SUV,QRS-5678,999.001.009-09
Renault Sandero,Vermelho,HAT,TUV-9012,999.001.010-10
Chevrolet Onix,Cinza Chumbo,HAT,WXY-3456,999.001.011-11
Volkswagen Polo,Azul Marinho,HAT,ZAB-7890,999.001.012-12
Chevrolet Onix Plus,Branco,SEDAN,ABC-1234,999.001.013-13
Fiat Pulse,Preto,SUV,DEF-5678,999.001.014-14
